Station,Lat,Lon,Elevation,Date,Temp ( C),Mean Monthly Temp  (F),Rainfall (mm),Mean Monthly Rainfall (in),,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20150501,26.55555556,79.8,184.15,7.25,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20150601,27.11111111,80.8,124.968,4.92,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20150701,27.16666667,80.9,108.966,4.29,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20150801,27.33333333,81.2,212.852,8.38,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20150901,27.66666667,81.8,274.066,10.79,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20151001,27.66666667,81.8,197.104,7.76,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20151101,25.83333333,78.5,135.128,5.32,,,,,,,,,,,,
COLOSO,18.381600,-67.159309,5,20151201,25.22222222,77.4,-253974.6,-9999,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150101,-9999,-9999,53.34,2.1,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150201,-9999,-9999,41.402,1.63,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150301,-9999,-9999,44.958,1.77,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150401,-9999,-9999,22.352,0.88,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150501,-9999,-9999,48.768,1.92,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150601,-9999,-9999,3.048,0.12,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150701,-9999,-9999,37.592,1.48,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150801,-9999,-9999,92.964,3.66,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20150901,-9999,-9999,38.1,1.5,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20151001,-9999,-9999,44.704,1.76,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20151101,-9999,-9999,88.9,3.5,,,,,,,,,,,,
ENSENADA,17.969836,-66.933478,22,20151201,-9999,-9999,0,0,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150101,26.72222222,80.1,43.942,1.73,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150201,27.05555556,80.7,56.896,2.24,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150301,26.72222222,80.1,31.75,1.25,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150401,27.61111111,81.7,22.86,0.9,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150501,28.77777778,83.8,6.858,0.27,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150601,29.66666667,85.4,23.368,0.92,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150701,28.88888889,84,75.692,2.98,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150801,29.16666667,84.5,106.172,4.18,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20150901,29.27777778,84.7,45.974,1.81,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20151001,29.27777778,84.7,122.936,4.84,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20151101,27.16666667,80.9,249.936,9.84,,,,,,,,,,,,
GUAYAMA 2E,17.983229,-66.114636,67,20151201,27.83333333,82.1,78.486,3.09,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150101,25.11111111,77.2,61.468,2.42,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150201,25.33333333,77.6,100.584,3.96,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150301,25.16666667,77.3,47.752,1.88,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150401,26.44444444,79.6,60.96,2.4,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150501,27.66666667,81.8,88.9,3.5,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150601,28.05555556,82.5,52.832,2.08,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150701,28,82.4,40.64,1.6,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150801,28.16666667,82.7,101.854,4.01,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20150901,27.83333333,82.1,154.432,6.08,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20151001,27.77777778,82,148.59,5.85,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20151101,26.27777778,79.3,292.608,11.52,,,,,,,,,,,,
HUMACAO NATURAL RESERVE,18.154850,-65.769742,1,20151201,26.05555556,78.9,182.626,7.19,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150101,24.5,76.1,83.82,3.3,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150201,24.88888889,76.8,81.026,3.19,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150301,24.5,76.1,45.212,1.78,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150401,26,78.8,15.748,0.62,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150501,27.33333333,81.2,25.654,1.01,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150601,28.16666667,82.7,31.75,1.25,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150701,28.05555556,82.5,37.592,1.48,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150801,28.16666667,82.7,115.316,4.54,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20150901,28.33333333,83,54.61,2.15,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20151001,27.72222222,81.9,242.062,9.53,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20151101,26.22222222,79.2,239.522,9.43,,,,,,,,,,,,
JUNCOS,18.231260,-65.915006,58,20151201,25.27777778,77.5,176.022,6.93,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150101,24.38888889,75.9,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150201,24.61111111,76.3,85.598,3.37,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150301,23.88888889,75,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150401,24.83333333,76.7,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150501,26.16666667,79.1,108.712,4.28,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150601,27.44444444,81.4,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150701,27.44444444,81.4,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150801,27.33333333,81.2,65.024,2.56,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20150901,27.77777778,82,74.422,2.93,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20151001,27.83333333,82.1,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20151101,-9999,-9999,-9999,-9999,,,,,,,,,,,,
LAJAS SUBSTN,18.047462,-67.0643,37,20151201,-9999,-9999,-9999,-9999,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150101,-9999,-9999,57.404,2.26,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150201,-9999,-9999,88.138,3.47,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150301,-9999,-9999,85.344,3.36,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150401,-9999,-9999,34.544,1.36,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150501,-9999,-9999,182.372,7.18,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150601,-9999,-9999,92.71,3.65,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150701,-9999,-9999,16.002,0.63,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150801,-9999,-9999,200.66,7.9,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20150901,-9999,-9999,339.09,13.35,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20151001,-9999,-9999,135.128,5.32,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20151101,-9999,-9999,261.112,10.28,,,,,,,,,,,,
MOROVIS 1 N,18.325965,-66.406424,218,20151201,-9999,-9999,39.116,1.54,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150101,22,71.6,162.814,6.41,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150201,22.11111111,71.8,192.024,7.56,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150301,21.94444444,71.5,90.17,3.55,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150401,23.22222222,73.8,46.99,1.85,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150501,24.27777778,75.7,91.44,3.6,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150601,25.05555556,77.1,54.864,2.16,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150701,24.88888889,76.8,46.736,1.84,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150801,25.27777778,77.5,179.578,7.07,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20150901,25.55555556,78,127.254,5.01,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20151001,25.33333333,77.6,132.08,5.2,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20151101,23.66666667,74.6,234.696,9.24,,,,,,,,,,,,
PALMA SOLA,18.096898,-66.460179,188,20151201,22.72222222,72.9,163.322,6.43,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150101,23.44444444,74.2,58.928,2.32,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150201,23.55555556,74.4,109.474,4.31,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150301,23.05555556,73.5,82.296,3.24,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150401,24.22222222,75.6,58.674,2.31,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150501,25.77777778,78.4,98.552,3.88,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150601,26.33333333,79.4,118.11,4.65,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150701,26.5,79.7,32.766,1.29,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150801,26.66666667,80,104.648,4.12,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20150901,26.61111111,79.9,234.188,9.22,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20151001,26.55555556,79.8,191.516,7.54,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20151101,24.88888889,76.8,213.106,8.39,,,,,,,,,,,,
PALMAREJO VEGA BAJA,18.434204,-66.473600,43,20151201,24.38888889,75.9,48.514,1.91,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150101,26.05555556,78.9,125.984,4.96,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150201,26.16666667,79.1,83.058,3.27,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150301,25.94444444,78.7,38.1,1.5,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150401,27.5,81.5,35.052,1.38,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150501,28.38888889,83.1,57.912,2.28,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150601,28.83333333,83.9,53.594,2.11,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150701,28.72222222,83.7,40.894,1.61,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150801,28.44444444,83.2,150.622,5.93,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20150901,29.05555556,84.3,109.22,4.3,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20151001,29.22222222,84.6,44.958,1.77,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20151101,27.33333333,81.2,221.488,8.72,,,,,,,,,,,,
SAN JUAN L M MARIN AP,18.448231,-66.0971324,3,20151201,26.66666667,80,88.138,3.47,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150101,25.61111111,78.1,126.238,4.97,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150201,25.77777778,78.4,79.756,3.14,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150301,25.38888889,77.7,64.516,2.54,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150401,26.88888889,80.4,40.894,1.61,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150501,27.94444444,82.3,67.818,2.67,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150601,28.61111111,83.5,57.404,2.26,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150701,28.66666667,83.6,51.816,2.04,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150801,28.66666667,83.6,167.894,6.61,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20150901,28.55555556,83.4,106.934,4.21,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20151001,28.72222222,83.7,81.026,3.19,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20151101,27.05555556,80.7,250.444,9.86,,,,,,,,,,,,
WFO SAN JUAN,18.442952,-66.012825,3,20151201,26.33333333,79.4,103.378,4.07,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150101,25.61111111,78.1,-9999,-9999,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150201,25.77777778,78.4,110.236,4.34,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150301,25.61111111,78.1,-9999,-9999,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150401,27,80.6,59.69,2.35,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150501,28.33333333,83,102.108,4.02,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150601,29.05555556,84.3,25.654,1.01,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150701,28.88888889,84,-9999,-9999,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150801,28.77777778,83.8,142.748,5.62,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20150901,28.94444444,84.1,-9999,-9999,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20151001,28.83333333,83.9,-9999,-9999,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20151101,-9999,-9999,-9999,-9999,,,,,,,,,,,,
TOA BAJA LEVITOWN,18.445930,-66.182077,3,20151201,26.27777778,79.3,-9999,-9999,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
