"","Aguascalientes","Baja California","Baja California Sur","Campeche","Chiapas","Chihuahua","Coahuila","Colima","Distrito Federal","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz","Yucatán","Zacatecas","total"
"2000-03-15",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,11,0,9,0,0,26
"2000-04-15",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,0,7,0,0,21
"2000-05-15",0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,1,3,0,0,12,0,1,3,0,3,0,6,0,0,38
"2000-06-15",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,10,0,0,0,12,0,0,2,0,0,22,0,1,0,53,0,0,105
"2000-07-15",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,0,0,0,0,55,0,0,0,176,0,0,294
"2000-08-15",0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,11,78,32,0,0,0,0,39,0,12,0,58,0,0,246
"2000-09-15",0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,3,35,7,0,0,0,0,66,1,87,0,157,0,0,407
"2000-10-15",0,0,1,1,119,0,0,0,1,0,0,2,0,0,0,0,0,0,3,9,4,0,0,0,4,96,1,46,0,58,0,0,345
"2000-11-15",0,1,0,2,72,0,0,0,0,0,0,1,0,0,0,0,0,0,3,9,4,0,0,0,0,44,1,32,0,21,0,0,190
"2000-12-15",0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,5,1,5,0,16,0,0,54
"2001-01-15",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,11
"2001-02-15",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,15,0,0,27
"2001-03-15",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,6,0,0,22
"2001-04-15",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,1,0,1,3,0,7,0,0,23
"2001-05-15",0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,1,0,0,0,2,11,0,63,0,0,109
"2001-06-15",0,0,0,0,34,0,0,0,0,0,0,22,0,0,0,0,0,0,4,10,0,0,2,0,2,0,1,4,0,158,0,0,237
"2001-07-15",0,0,0,0,37,0,0,0,0,0,0,31,0,0,2,2,0,0,0,9,0,0,7,0,3,0,4,2,0,142,17,0,256
"2001-08-15",0,0,0,12,65,0,0,0,0,0,0,73,0,0,23,14,1,0,1,89,0,0,24,0,4,0,12,4,0,223,161,0,706
"2001-09-15",0,0,0,31,100,0,0,0,0,0,0,156,0,0,1,25,7,0,2,69,19,0,155,0,2,0,28,2,0,297,63,0,957
"2001-10-15",0,0,1,13,133,0,0,0,0,0,0,216,0,0,8,0,3,0,2,192,13,0,101,0,6,0,25,12,0,651,20,0,1396
"2001-11-15",0,0,0,1,36,0,0,2,0,0,0,90,0,0,0,0,3,0,1,83,0,0,5,0,155,0,12,4,0,388,21,0,801
"2001-12-15",0,0,0,0,34,0,1,0,0,0,0,16,0,0,2,0,0,0,0,24,0,0,7,0,9,0,6,1,0,305,5,0,410
"2002-01-15",0,0,0,1,15,0,0,22,0,0,0,22,0,0,0,0,0,0,1,3,0,0,9,0,0,0,0,0,0,148,10,0,231
"2002-02-15",0,0,0,1,16,0,0,48,0,0,0,21,0,0,0,7,0,0,0,2,0,0,12,0,0,0,2,0,0,61,10,0,180
"2002-03-15",0,0,0,0,10,0,0,102,0,0,0,15,0,0,0,0,0,0,3,1,0,0,25,0,0,0,0,2,0,45,9,0,212
"2002-04-15",0,0,0,6,17,0,0,163,0,0,0,38,0,0,2,9,0,0,0,1,0,0,52,0,0,0,4,0,0,40,16,0,348
"2002-05-15",0,0,0,5,23,0,0,285,0,0,0,104,0,1,7,35,0,0,2,6,0,0,71,0,2,0,5,2,0,87,24,0,659
"2002-06-15",0,0,0,25,32,0,0,249,0,0,0,86,0,15,16,14,0,0,1,105,0,0,73,0,0,0,5,4,0,340,36,0,1001
"2002-07-15",0,0,0,42,56,0,2,288,0,0,0,364,1,103,15,34,10,33,4,191,3,0,75,0,2,5,44,1,0,698,99,0,2070
"2002-08-15",0,0,0,110,113,0,0,669,0,0,0,998,2,58,19,57,27,117,2,200,1,0,118,0,39,55,240,13,0,382,237,0,3457
"2002-09-15",0,0,1,80,84,0,29,406,0,0,0,622,15,146,1,105,36,228,2,109,1,0,64,0,63,94,21,40,0,274,172,0,2593
"2002-10-15",0,0,6,88,90,0,129,132,0,0,0,235,12,439,1,128,23,469,2,87,7,0,47,3,323,120,9,43,0,261,246,0,2900
"2002-11-15",0,0,2,21,14,0,68,15,0,0,0,80,2,550,0,42,8,246,4,19,2,0,20,0,207,80,0,41,0,111,78,0,1610
"2002-12-15",0,0,0,1,1,0,10,0,0,0,0,20,0,25,0,8,1,51,1,2,0,0,0,0,5,3,1,6,0,8,9,0,152
"2003-01-15",0,0,0,2,2,0,0,9,0,0,0,54,0,1,0,4,2,23,1,3,0,0,8,0,2,3,0,0,0,7,0,0,121
"2003-02-15",0,0,0,2,2,0,0,13,0,0,0,57,0,5,0,9,0,10,1,2,0,0,7,0,2,0,5,1,0,3,0,0,119
"2003-03-15",0,0,0,1,1,0,0,6,0,0,0,29,0,9,0,11,0,4,2,0,0,0,1,0,0,0,1,1,0,9,0,0,75
"2003-04-15",0,0,0,0,4,0,0,6,0,0,0,19,0,5,0,6,2,12,4,0,0,0,1,0,1,0,0,3,0,9,1,0,73
"2003-05-15",0,0,0,0,2,0,0,0,0,0,0,20,0,1,0,3,9,6,2,3,0,0,1,0,9,0,1,0,0,22,0,0,79
"2003-06-15",0,0,0,1,6,0,0,1,0,0,0,19,0,0,0,1,4,20,3,1,0,0,2,0,39,21,2,1,0,13,0,0,134
"2003-07-15",0,0,66,0,6,0,1,1,0,0,0,56,2,0,0,1,8,13,5,8,0,0,3,0,97,59,14,2,0,90,1,0,433
"2003-08-15",0,0,163,3,3,0,2,0,0,0,0,80,0,2,0,7,15,7,5,16,0,0,6,0,210,61,22,2,0,171,2,0,777
"2003-09-15",0,0,203,4,1,0,1,0,0,1,0,67,1,0,0,12,12,4,5,64,0,0,4,0,528,196,30,0,0,226,3,0,1362
"2003-10-15",0,0,354,3,13,0,0,0,0,0,0,39,0,2,0,30,25,8,3,64,0,0,24,0,653,776,29,0,0,361,11,0,2395
"2003-11-15",0,0,133,1,15,0,0,1,0,0,0,14,0,10,0,26,5,4,4,29,0,0,29,0,258,375,6,0,0,299,7,0,1216
"2003-12-15",0,0,8,1,1,0,0,0,0,0,0,4,0,1,0,3,0,1,1,4,0,0,21,0,36,36,0,0,0,95,0,0,212
"2004-01-15",0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,4,0,0,4,0,0,0,19,0,9,7,0,1,0,44,2,0,98
"2004-02-15",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,4,0,1,1,0,10,5,0,41
"2004-03-15",0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,4,0,5,4,0,0,0,12,0,3,2,1,0,0,10,2,0,53
"2004-04-15",0,0,0,0,7,0,0,1,0,0,0,6,0,0,0,10,0,15,1,1,5,0,15,0,8,2,0,1,0,17,3,0,92
"2004-05-15",0,0,0,0,6,0,0,2,0,0,0,11,0,0,0,2,0,2,2,3,2,0,20,0,8,8,0,1,0,30,3,0,100
"2004-06-15",0,0,1,0,26,0,0,1,0,0,0,17,0,0,4,7,3,9,4,8,3,0,16,0,6,2,0,0,0,132,1,0,240
"2004-07-15",0,0,1,0,24,0,0,0,0,0,0,28,0,0,9,17,4,19,1,23,2,0,28,0,13,0,3,1,0,798,5,0,976
"2004-08-15",0,0,0,1,49,0,3,1,0,0,0,74,1,1,2,17,26,68,0,86,2,0,35,0,26,2,5,3,0,2092,5,0,2499
"2004-09-15",0,0,0,2,50,0,0,0,0,0,0,58,56,2,0,6,28,35,4,53,12,0,43,1,32,1,12,7,0,1015,3,0,1420
"2004-10-15",0,0,0,11,135,0,0,0,0,0,0,66,47,19,14,4,15,16,10,16,1,0,33,1,27,5,28,28,0,887,19,0,1382
"2004-11-15",0,0,0,13,148,0,0,2,0,0,0,52,14,9,0,22,4,6,3,0,0,0,26,0,6,0,20,40,0,645,7,0,1017
"2004-12-15",0,0,0,1,39,0,0,2,0,0,0,19,6,1,0,0,0,6,3,0,0,0,35,0,1,0,4,25,0,140,2,0,284
"2005-01-15",0,0,2,4,33,0,0,0,0,0,0,25,1,1,0,0,0,21,0,6,0,0,25,0,14,1,4,16,0,27,1,0,181
"2005-02-15",0,0,0,6,12,0,0,0,0,0,0,17,0,0,0,2,2,21,1,1,0,0,20,0,9,2,7,1,0,10,2,0,113
"2005-03-15",0,0,0,3,11,0,0,0,0,0,0,18,0,0,0,5,2,13,1,2,0,0,15,0,2,1,4,0,0,9,1,0,87
"2005-04-15",0,0,0,3,25,0,0,12,0,0,0,48,0,0,0,4,1,4,3,8,0,0,19,0,3,0,8,3,0,30,1,0,172
"2005-05-15",0,0,0,9,37,0,0,26,0,0,0,79,1,1,0,0,47,3,5,14,0,0,40,0,11,1,26,26,0,184,0,0,510
"2005-06-15",0,0,0,10,147,0,0,35,0,0,0,69,1,1,0,3,37,5,4,46,0,0,62,1,18,0,71,146,0,286,3,0,945
"2005-07-15",0,0,0,15,386,0,0,43,0,0,0,62,19,2,0,1,30,13,6,102,0,0,131,6,35,1,68,870,0,456,9,0,2255
"2005-08-15",0,0,3,20,474,0,2,62,0,0,0,179,88,4,0,5,24,52,111,178,0,0,221,43,87,3,104,1995,0,1005,26,0,4686
"2005-09-15",0,0,1,19,489,0,13,91,0,0,0,295,257,16,0,1,37,88,306,231,43,0,146,79,190,5,48,2125,0,1185,40,0,5705
"2005-10-15",0,0,1,14,393,0,71,99,0,0,0,329,270,34,0,3,60,89,396,278,3,0,89,48,194,43,35,1471,0,838,55,0,4813
"2005-11-15",0,0,1,6,107,0,36,51,0,0,0,239,67,28,0,13,38,133,28,220,1,0,81,10,106,17,9,393,0,406,21,0,2011
"2005-12-15",0,0,4,2,15,0,2,9,0,0,0,72,5,11,0,0,9,25,0,114,3,0,26,0,6,2,2,16,0,101,3,0,427
"2006-01-15",0,0,0,1,4,0,0,44,0,0,0,41,3,0,0,6,6,19,0,103,0,0,25,0,5,1,3,19,0,54,7,0,341
"2006-02-15",0,0,0,0,4,0,0,26,0,0,0,34,1,2,0,14,3,11,3,81,0,0,13,1,5,1,2,13,0,22,15,0,251
"2006-03-15",0,0,0,3,18,0,0,11,0,0,0,58,2,4,0,6,1,18,4,92,0,0,19,0,5,0,3,14,0,17,5,0,280
"2006-04-15",0,0,0,2,18,0,0,4,0,0,0,64,1,1,0,10,5,33,4,117,1,0,10,0,4,0,1,11,0,32,3,0,321
"2006-05-15",0,0,1,5,84,0,0,12,0,0,0,140,1,5,0,7,19,28,2,161,16,0,16,11,6,0,5,11,0,86,3,0,619
"2006-06-15",0,0,2,1,106,0,0,33,0,0,0,247,2,3,1,12,111,48,0,127,46,0,37,16,17,0,7,25,0,260,7,0,1108
"2006-07-15",0,0,0,5,89,0,0,38,0,1,0,409,1,34,1,26,328,43,14,362,70,0,153,21,26,0,16,45,0,704,15,0,2401
"2006-08-15",0,0,5,16,99,0,1,62,0,1,0,587,8,109,1,48,510,27,11,520,51,0,306,67,8,2,49,17,0,1189,54,0,3748
"2006-09-15",0,0,31,21,100,0,14,433,0,2,0,672,120,271,2,87,695,49,34,798,28,3,432,96,47,3,65,12,0,2252,171,0,6438
"2006-10-15",0,0,49,23,115,0,111,506,0,16,0,1155,72,440,0,104,744,85,36,546,26,85,647,67,138,68,22,24,0,2789,234,0,8102
"2006-11-15",0,0,19,11,73,0,102,329,0,101,0,927,9,503,2,83,366,175,65,305,3,22,329,5,152,10,6,7,0,988,77,0,4669
"2006-12-15",0,0,8,2,22,0,4,140,0,1,0,239,0,486,0,27,47,51,6,81,0,0,223,0,34,1,4,2,0,144,36,0,1558
"2007-01-15",0,0,2,6,39,0,1,143,0,0,0,295,0,271,0,44,17,26,5,83,2,0,612,0,15,1,5,4,0,77,68,0,1716
"2007-02-15",0,0,0,4,40,0,2,79,0,5,0,185,0,148,0,44,15,34,17,68,2,0,457,0,11,0,10,2,0,74,66,0,1263
"2007-03-15",0,0,1,14,46,0,0,92,0,7,0,169,0,38,0,29,15,21,11,103,2,1,450,8,9,0,10,5,0,110,97,0,1238
"2007-04-15",0,0,1,18,71,0,0,33,0,19,0,202,0,2,3,14,6,8,34,115,4,1,355,1,11,1,19,19,0,219,50,0,1206
"2007-05-15",0,0,0,16,394,0,0,36,0,21,1,212,0,10,2,23,23,33,45,169,17,1,365,7,21,1,23,15,0,372,54,0,1861
"2007-06-15",0,0,3,15,544,0,0,32,0,13,1,257,0,2,8,26,114,74,57,380,12,0,317,7,8,0,43,21,0,549,67,0,2550
"2007-07-15",0,0,2,5,330,0,2,37,0,86,6,468,0,8,5,38,179,122,97,750,13,0,270,8,10,2,92,89,0,962,80,0,3661
"2007-08-15",0,0,4,20,388,1,34,91,0,28,8,522,1,60,1,85,216,183,915,1140,65,0,419,9,12,1,197,274,0,2254,178,0,7106
"2007-09-15",0,0,9,59,465,0,200,109,0,21,200,754,11,116,7,284,255,184,1743,1453,104,1,516,36,40,0,525,343,0,3488,388,0,11311
"2007-10-15",0,0,11,36,360,0,461,129,0,73,402,779,17,205,8,1224,317,284,852,1028,68,2,395,137,291,4,483,797,0,4281,405,156,13205
"2007-11-15",0,0,5,23,220,0,131,104,0,56,20,580,10,93,11,341,161,91,56,242,25,0,214,37,150,5,299,319,0,2327,322,0,5842
"2007-12-15",0,0,0,3,29,0,6,64,0,3,0,167,6,0,0,167,37,43,0,25,1,2,52,11,27,0,88,51,0,540,88,0,1410
"2008-01-15",0,0,1,0,52,0,0,51,0,0,0,190,0,25,0,106,38,7,14,55,5,0,70,4,12,0,40,25,0,322,51,0,1068
"2008-02-15",0,0,7,3,28,0,0,42,0,0,0,211,3,30,0,58,33,9,104,30,12,0,38,4,6,2,35,11,0,240,29,0,935
"2008-03-15",0,0,2,1,25,0,0,27,0,0,0,120,8,16,0,25,60,5,37,44,5,0,33,3,8,0,40,16,0,147,32,0,654
"2008-04-15",0,0,1,2,95,0,0,76,0,0,0,144,13,7,0,78,91,4,22,73,18,0,79,2,10,0,43,23,0,122,31,0,934
"2008-05-15",0,0,2,2,141,1,1,58,0,4,0,266,274,4,0,225,569,7,26,87,48,0,41,3,13,1,52,30,0,180,24,0,2059
"2008-06-15",0,0,6,1,257,2,1,64,0,3,0,332,148,4,0,99,1176,25,25,347,24,0,62,9,18,5,120,48,0,170,28,0,2974
"2008-07-15",0,0,3,12,220,0,0,72,0,1,0,393,24,21,0,100,1509,59,38,238,88,0,40,63,11,3,100,67,0,450,52,0,3564
"2008-08-15",0,0,4,8,255,0,2,108,0,1,9,624,23,185,6,374,1361,25,80,193,143,0,40,77,59,14,135,108,0,772,66,1,4673
"2008-09-15",0,0,7,11,226,0,17,164,0,1,5,724,16,433,31,496,1176,41,127,167,118,1,25,35,308,193,123,191,0,572,90,0,5298
"2008-10-15",0,0,77,3,191,0,8,603,0,28,0,779,53,484,17,448,1300,26,283,107,121,2,19,50,614,586,146,541,0,646,191,1,7324
"2008-11-15",0,0,75,2,75,0,0,819,0,27,0,600,40,225,4,516,668,39,101,60,16,0,19,25,172,272,96,368,0,340,91,0,4650
"2008-12-15",0,0,37,1,34,0,0,367,0,0,0,181,6,0,0,105,137,102,0,19,5,0,0,6,101,24,33,108,0,168,36,0,1470
"2009-01-15",0,0,30,4,37,0,0,524,0,0,0,153,3,680,0,192,64,60,4,19,3,0,13,17,251,35,48,66,0,250,54,0,2507
"2009-02-15",0,0,10,0,46,0,0,356,0,0,0,125,7,635,0,194,57,225,10,44,4,1,10,31,127,18,74,26,0,187,34,0,2221
"2009-03-15",0,0,43,4,52,0,0,397,0,2,0,180,2,244,1,197,64,171,23,43,19,1,33,11,117,40,52,31,0,189,45,0,1961
"2009-04-15",0,0,9,0,52,0,0,425,0,0,0,251,6,215,2,129,70,119,7,59,21,0,43,29,106,40,90,34,0,225,45,0,1977
"2009-05-15",0,0,8,1,98,0,0,368,0,0,0,143,29,140,22,167,39,621,17,63,34,0,41,29,104,18,79,67,0,281,45,0,2414
"2009-06-15",0,0,9,4,136,0,2,361,0,0,0,133,140,936,30,142,53,689,15,93,27,0,61,134,56,18,75,48,0,404,108,0,3674
"2009-07-15",0,0,6,2,297,0,0,402,0,0,0,297,188,3009,52,176,84,845,17,232,83,0,22,349,91,19,436,86,0,1061,77,0,7831
"2009-08-15",0,0,5,18,724,0,46,611,0,0,0,730,451,14049,36,645,196,2141,33,252,201,0,54,736,122,14,1791,95,0,2962,189,0,26101
"2009-09-15",0,0,32,19,1061,0,54,1241,0,5,28,1096,269,15482,43,949,175,4220,46,509,111,2,131,737,261,20,1836,107,0,3353,784,0,32571
"2009-10-15",0,0,72,294,1210,0,342,1242,0,209,169,1368,181,9859,38,1151,228,1524,270,627,39,21,183,748,829,102,1344,302,0,2626,1569,0,26547
"2009-11-15",0,0,153,344,564,0,107,860,0,81,0,1417,86,8264,33,574,161,146,190,303,45,11,150,418,572,139,431,460,0,1038,1054,0,17601
"2009-12-15",0,0,163,106,126,0,0,739,0,4,0,696,9,2593,11,329,67,76,42,192,10,0,92,144,70,38,73,118,0,307,635,0,6640
"2010-01-15",0,0,110,92,50,0,0,415,0,0,0,572,1,324,1,213,27,93,11,218,11,0,238,14,90,35,33,63,0,46,329,0,2986
"2010-02-15",0,0,51,55,55,0,1,233,0,0,0,583,1,212,0,186,12,41,29,145,13,0,311,9,39,19,55,20,0,25,161,0,2256
"2010-03-15",0,1,34,31,30,0,0,134,0,0,0,556,1,158,1,135,31,45,45,145,20,0,165,20,28,3,18,40,0,36,68,0,1745
"2010-04-15",0,0,59,43,68,0,2,97,0,1,0,548,8,92,1,117,27,92,56,320,21,1,220,30,30,4,23,26,0,14,37,0,1937
"2010-05-15",0,0,65,32,119,0,3,42,0,0,0,473,4,86,9,81,65,331,125,400,36,0,181,36,49,16,28,20,0,34,41,0,2276
"2010-06-15",0,1,67,51,272,0,3,52,0,0,0,583,2,138,10,113,98,261,124,673,113,0,284,24,61,14,26,19,0,80,69,0,3138
"2010-07-15",2,1,94,199,170,2,8,49,0,0,0,776,4,138,0,59,157,257,185,656,264,0,549,24,122,39,49,75,0,76,286,0,4241
"2010-08-15",0,2,140,409,169,0,14,78,0,1,0,1323,7,188,13,181,247,380,422,947,334,0,360,45,137,51,73,300,0,277,521,0,6619
"2010-09-15",0,2,191,119,93,0,27,112,0,7,0,1371,8,251,7,256,342,185,466,525,245,0,181,64,170,531,112,225,0,299,446,0,6235
"2010-10-15",0,2,515,117,64,0,27,67,0,5,0,420,11,182,0,238,486,154,614,322,159,0,89,48,326,2122,84,170,0,241,578,0,7041
"2010-11-15",0,0,509,30,27,0,3,37,0,4,0,296,1,79,0,150,230,16,311,101,33,0,68,7,157,1321,13,25,0,141,378,0,3937
"2010-12-15",0,0,190,8,15,0,0,17,0,0,0,113,0,9,0,37,50,0,47,32,8,0,30,2,6,155,8,3,0,53,96,0,879
"2011-01-15",0,0,20,14,36,0,0,23,0,0,0,55,1,12,1,36,20,0,26,7,5,0,21,7,9,6,2,5,0,22,61,0,389
"2011-02-15",0,0,4,19,26,0,0,23,0,1,0,32,0,12,1,38,23,1,47,32,10,0,17,1,4,0,18,7,0,16,30,0,362
"2011-03-15",0,1,1,14,32,0,0,32,0,0,0,39,3,22,0,49,9,2,80,40,17,0,38,5,6,11,13,5,0,17,17,0,453
"2011-04-15",1,11,1,12,45,0,3,31,0,0,0,40,0,19,0,35,12,5,49,33,12,1,46,10,9,10,10,6,0,23,11,0,435
"2011-05-15",0,2,0,24,84,0,0,40,0,1,0,42,0,22,1,50,33,4,57,76,25,0,58,6,12,16,15,6,0,29,22,0,625
"2011-06-15",0,0,3,18,74,0,0,41,0,2,0,60,0,24,1,28,73,7,69,95,15,0,51,10,7,12,10,7,0,26,22,0,655
"2011-07-15",0,5,2,31,87,0,1,32,0,1,0,139,5,30,0,49,70,4,88,139,22,1,195,6,13,10,7,13,0,98,60,0,1108
"2011-08-15",0,0,2,68,126,0,1,37,0,1,0,157,13,24,1,56,154,10,50,200,23,20,485,11,22,8,48,11,0,256,272,0,2056
"2011-09-15",0,0,3,96,125,0,0,37,0,0,0,149,8,17,0,47,168,10,64,176,17,46,881,19,17,10,91,16,0,536,1285,0,3818
"2011-10-15",0,0,7,293,117,0,0,48,0,6,0,142,5,24,0,113,277,17,85,193,20,8,1129,8,4,6,98,18,0,569,2763,0,5950
"2011-11-15",1,0,23,307,62,0,0,29,0,0,0,102,18,22,0,80,111,4,91,168,6,0,537,0,8,5,59,9,0,368,2237,0,4247
"2011-12-15",1,1,4,108,22,0,0,20,0,0,0,32,1,8,1,16,48,2,22,39,2,0,163,0,2,3,24,1,0,104,1125,0,1749
"2012-01-15",0,1,4,242,78,0,1,8,0,0,0,116,2,18,0,115,49,1,45,83,12,0,180,6,3,6,91,12,0,132,1074,0,2279
"2012-02-15",0,0,0,214,81,0,0,28,0,0,0,93,3,15,0,146,23,1,60,52,8,0,107,7,5,9,100,10,0,111,414,0,1487
"2012-03-15",0,0,0,115,70,0,0,10,0,0,0,92,3,8,1,184,4,1,47,67,9,0,109,4,7,4,132,13,0,133,222,0,1235
"2012-04-15",0,0,2,110,107,0,0,6,0,0,0,112,4,15,1,91,44,0,62,82,12,0,120,3,5,11,130,14,0,273,152,0,1356
"2012-05-15",0,0,4,172,251,0,0,6,0,0,0,220,2,26,0,118,161,4,91,183,33,0,128,16,10,13,204,82,0,560,253,0,2537
"2012-06-15",0,1,8,272,811,0,2,21,0,1,0,634,9,29,5,108,410,4,120,403,28,0,167,60,10,6,306,141,0,993,499,0,5048
"2012-07-15",0,0,4,363,999,0,3,22,0,0,0,1273,14,39,27,314,842,8,151,638,44,1,228,156,12,24,1096,416,0,2717,1042,0,10433
"2012-08-15",0,1,16,503,1053,1,11,44,0,0,1,1736,30,49,58,482,1597,8,142,925,123,0,327,197,30,26,1697,776,0,5543,1564,0,16940
"2012-09-15",0,0,32,362,1067,0,48,57,0,0,0,1631,65,126,39,378,2060,0,177,618,145,0,334,348,31,121,1111,660,0,5213,1749,0,16372
"2012-10-15",0,0,108,269,893,0,43,90,0,2,0,1428,58,272,37,524,2225,0,472,937,158,2,408,335,52,741,988,821,0,3341,1628,29,15861
"2012-11-15",0,0,483,113,463,0,21,110,0,3,0,980,19,180,51,321,941,0,297,314,56,0,349,117,79,238,439,506,0,1185,841,48,8154
"2012-12-15",0,1,371,32,113,0,0,72,0,0,0,254,4,92,27,99,57,0,96,108,44,0,171,57,45,153,156,211,0,442,305,0,2910
"2013-01-15",0,0,38,35,109,0,2,217,0,0,0,482,0,72,20,223,39,0,101,150,59,0,236,35,109,30,174,149,0,257,141,0,2678
"2013-02-15",0,0,17,26,119,0,0,195,0,0,0,412,4,71,25,141,38,46,78,125,58,0,235,40,34,12,284,147,0,189,110,0,2406
"2013-03-15",0,0,15,21,131,0,1,111,0,0,0,259,2,75,0,142,17,4,84,64,60,0,273,29,28,11,535,136,0,166,75,0,2239
"2013-04-15",0,0,3,36,170,0,3,170,0,1,0,178,4,88,0,61,13,449,152,90,63,0,222,45,31,12,952,114,0,208,55,0,3120
"2013-05-15",0,0,1,67,322,0,1,237,0,0,0,212,12,131,0,79,162,1467,168,108,105,0,274,30,75,9,1883,339,0,393,115,0,6190
"2013-06-15",0,0,5,123,497,0,3,230,0,0,0,274,42,368,0,122,1014,229,211,261,287,0,376,36,87,0,2058,3569,0,668,171,0,10631
"2013-07-15",2,0,20,131,589,0,1,318,0,0,0,366,140,336,5,159,1887,292,300,494,524,1,541,104,101,20,2373,6450,0,1706,301,0,17161
"2013-08-15",0,0,73,245,725,0,12,1209,0,0,15,540,370,755,5,148,2126,1470,585,888,309,2,1114,147,274,23,2305,3668,0,3223,526,0,20757
"2013-09-15",0,0,537,206,668,0,113,865,0,0,50,655,114,1049,11,204,1930,3054,923,591,108,2,925,226,780,215,2148,2527,0,2380,593,0,20874
"2013-10-15",0,0,1711,236,699,0,619,931,0,0,9,903,148,1702,0,282,953,2327,2069,747,193,8,786,260,1394,797,1027,2393,0,2262,784,1,23241
"2013-11-15",0,0,1801,115,421,0,174,806,0,0,0,490,41,896,0,170,65,2201,742,525,54,1,540,93,515,350,271,1046,0,1056,671,1,13045
"2013-12-15",0,0,589,42,97,0,0,180,0,0,0,155,1,275,0,43,34,440,115,135,17,0,174,31,248,102,57,99,0,291,328,0,3453
"2014-01-15",0,0,122,39,82,0,0,96,0,0,0,174,0,167,0,40,37,55,79,110,6,0,98,19,389,154,43,12,0,126,249,0,2097
"2014-02-15",0,0,26,55,71,0,1,62,0,0,0,142,1,144,0,32,27,56,91,84,21,0,90,7,335,57,26,12,0,70,196,0,1606
"2014-03-15",0,1,29,55,121,0,0,55,0,0,0,135,2,97,0,30,37,90,149,64,26,1,69,17,369,29,41,4,0,65,85,0,1571
"2014-04-15",0,0,15,41,109,0,1,39,0,0,0,131,4,50,0,16,24,66,120,67,23,0,33,8,193,60,23,15,0,68,50,0,1156
"2014-05-15",0,1,53,26,204,0,0,49,0,1,0,188,3,97,0,19,34,121,191,152,57,0,32,20,371,105,39,32,0,123,44,0,1962
"2014-06-15",0,0,75,91,235,0,3,119,0,0,3,335,1,148,0,61,136,83,113,313,103,0,58,25,351,108,43,65,0,181,150,0,2800
"2014-07-15",0,0,180,94,310,0,7,192,0,13,5,378,12,167,0,155,181,31,99,502,93,1,65,61,337,78,60,143,0,532,169,0,3865
"2014-08-15",0,0,1014,132,335,0,35,149,0,19,1,414,9,341,0,131,293,51,126,671,127,1,77,25,1122,261,47,116,0,963,181,0,6641
"2014-09-15",0,0,1518,110,368,0,76,171,0,4,0,323,7,456,0,151,283,102,112,837,129,1,51,24,1703,537,61,121,0,925,195,0,8265
"2014-10-15",0,0,2552,87,396,0,79,253,0,2,0,379,6,437,0,181,214,102,140,677,184,1,117,24,2062,3866,78,278,0,1026,239,0,13380
"2014-11-15",0,4,993,77,355,0,18,158,0,4,0,436,3,245,0,79,128,18,62,295,54,1,158,13,1174,4333,41,137,0,516,176,0,9478
"2014-12-15",0,11,159,29,126,0,1,73,0,0,0,190,1,35,0,18,33,3,2,121,7,0,71,6,144,784,15,22,0,220,56,0,2127
